lambda ion Z num_e gl gu fosc P
1128.477 "C I" 6 6 1 3 0.0008912 8.56
1128.483 FeII 26 "25 1" "0 1" 0 3.79e-08 3.14
1128.631 "C I**" 6 6 5 3 0.0007016 8.46
1128.6859 "C I*" 6 6 3 3 0.002837 9.07
1128.752 "C I**" 6 6 5 5 0.002105 8.94
1128.8166 "C I*" 6 6 3 5 0.0009181 8.58
1128.9026 "C I**" 6 6 5 7 0.0002404 7.99
1129.0299 "C I**" 6 6 5 3 nan nan
1129.0777 "C I*" 6 6 3 5 0.0003005 8.09
1129.141 "C I**" 6 6 5 7 0.001589 8.81
1129.1607 "C I**" 6 6 5 5 5.509e-05 7.35
1129.19 "V III" 23 21 4 4 0.00102 4.08
1129.193 "C I" 6 6 1 3 0.004898 9.3
1129.302 XeI 54 54 1 3 0.00252 2.68
1129.3175 "C I" 6 6 1 3 0.0007211 8.47
1129.402 "C I*" 6 6 3 3 0.0007636 8.5
1129.4221 "C I**" 6 6 5 5 0.0005408 8.35
1129.5267 "C I*" 6 6 3 3 0.0001802 7.87
1129.5943 "C I*" 6 6 3 1 0.0002403 7.99
1129.624 "C I*" 6 6 3 5 0.00121 8.7
1129.747 "C I**" 6 6 5 3 6.472e-06 6.42
1129.8712 "C I**" 6 6 5 3 0.0001802 7.87
1129.927 "C I**" 6 6 5 7 0.0004688 8.27
1129.969 "C I**" 6 6 5 5 3.724e-06 6.18
1130.1706 "C I*" 6 6 3 5 1.327e-05 6.74
1130.5155 "C I**" 6 6 5 5 2.405e-05 6.99
1132.8528 ClI 17 17 4 2 1.41e-05 3.47
1133.665 FeII 26 "25 1" 0 8 0.006 8.34
1133.9341 ClI 17 17 4 4 5.21e-05 4.04
1134.1653 "N I" 7 7 4 2 0.00385 8.69
1134.4149 "N I" 7 7 4 4 0.0077 8.99
1134.9803 "N I" 7 7 4 6 0.0116 9.17
1135.331 ClI 17 17 4 6 2.11e-05 3.65
1137.904 "V III" 23 21 4 6 0.000566 3.83
1138.384 "C I" 6 6 1 3 0.001945 8.91
1138.557 "C I*" 6 6 3 1 0.0006483 8.43
1138.5609 "C I" 6 6 1 3 0.001202 8.7
1138.597 "C I*" 6 6 3 3 0.0004862 8.3
1138.7428 "C I*" 6 6 3 5 0.0008102 8.53
1138.7736 "C I*" 6 6 3 3 1.489e-07 4.79
1138.947 "C I**" 6 6 5 3 0.0004861 8.3
1139.0867 "C I" 6 6 1 3 0.0006918 8.46
1139.0931 "C I**" 6 6 5 5 0.001458 8.78
1139.1238 "C I**" 6 6 5 3 4.477e-05 7.27
1139.2995 "C I*" 6 6 3 3 nan nan
1139.4255 "C I**" 6 6 5 7 0.0004179 8.24
1139.5143 "C I*" 6 6 3 5 0.01047 9.64
1139.6501 "C I**" 6 6 5 3 nan nan
1139.7657 "C I*" 6 6 3 5 0.0007311 8.48
1139.793 "C I" 6 6 1 3 0.01396 9.76
1139.812 "C I**" 6 6 5 7 0.01172 9.69
1139.865 "C I**" 6 6 5 5 0.002093 8.94
1140.006 "C I*" 6 6 3 3 0.003488 9.16
1140.0096 "C I" 6 6 1 3 0.001754 8.86
1140.1166 "C I**" 6 6 5 5 0.001316 8.74
1140.2228 "C I*" 6 6 3 3 0.0004384 8.26
1140.3163 "C I*" 6 6 3 1 0.0005846 8.38
1140.357 "C I**" 6 6 5 3 0.0001396 7.76
1140.3573 "C I*" 6 6 3 5 0.002152 8.95
1140.5739 "C I**" 6 6 5 3 0.0004383 8.26
1140.6413 "C I**" 6 6 5 7 0.0008532 8.55
1140.7086 "C I**" 6 6 5 5 2.461e-05 7.01
1141.3265 "C I*" 6 6 3 5 2.588e-05 7.03
1141.6783 "C I**" 6 6 5 5 4.276e-05 7.25
1142.3656 FeII 26 "25 1" 0 8 0.005 8.27
1143.226 FeII 26 "25 1" "0 1" 0 0.0133 8.69
1144.9379 FeII 26 "25 1" "0 1" 2 0.105 9.59
1147.941 CoII 27 26 9 9 0.000245 4.36
1149.672 CoII 27 26 9 7 7.17e-05 3.83
1150.245 "V III" 23 21 4 6 0.0234 5.45
1150.261 MnII 25 24 7 5 8.85e-06 3.54
1150.3555 FeII 26 "25 1" 0 8 1.26e-06 4.67
1150.779 MnII 25 24 7 7 2.51e-05 3.99
1151.207 "B I" 5 5 2 4 0.0194 4.23
1151.281 "B I" 5 5 2 2 0.0388 4.53
1152.818 "P II" 15 14 1 3 0.236 8.0
1153.179 "V III" 23 21 4 4 0.103 6.09
1153.9951 "P II**" 15 14 5 5 0.186 7.89
1155.8092 "C I" 6 6 1 3 0.00304 9.11
1155.979 "C I*" 6 6 3 1 0.0046 9.29
1155.99 "S I" 16 16 5 5 0.0146 8.5
1156.0283 "C I*" 6 6 3 3 0.00345 9.16
1156.1842 "C I" 6 6 1 3 2.818e-05 7.07
1156.199 "C I*" 6 6 3 5 0.007183 9.48
1156.26 "S I" 16 16 5 3 0.00487 8.02
1156.273 M91(X) -1 "" "" -1 nan 7.5
1156.3893 "C I**" 6 6 5 3 0.004309 9.26
1156.4035 "C I*" 6 6 3 3 0.001559 8.82
1156.5601 "C I**" 6 6 5 5 0.01293 9.74
1156.7646 "C I**" 6 6 5 3 0.0005141 8.33
1157.1857 "C I" 6 6 1 3 0.0005495 8.36
1157.3299 "C I**" 6 6 5 7 0.0006472 8.43
1157.4054 "C I*" 6 6 3 3 0.0008972 8.58
1157.7672 "C I**" 6 6 5 3 nan nan
1157.7695 "C I*" 6 6 3 5 0.00571 9.38
1157.9097 "C I" 6 6 1 3 0.00763 9.51
1158.0186 "C I**" 6 6 5 7 0.00641 9.43
1158.0347 "C I*" 6 6 3 5 0.001426 8.78
1158.1296 "C I*" 6 6 3 3 0.0019 8.9
1158.1315 "C I**" 6 6 5 5 0.003266 9.14
1158.324 "C I" 6 6 1 3 0.00583 9.39
1158.3969 "C I**" 6 6 5 5 0.002565 9.03
1158.4919 "C I**" 6 6 5 3 0.0002178 7.96
1158.5441 "C I*" 6 6 3 3 0.000855 8.56
1158.6742 "C I*" 6 6 3 1 0.00114 8.68
1158.7319 "C I*" 6 6 3 5 0.001875 8.9
1158.9066 "C I**" 6 6 5 3 0.0008547 8.56
1158.9666 "C I**" 6 6 5 7 0.001262 8.73
1159.0945 "C I**" 6 6 5 5 3.991e-05 7.23
1159.37 M91(X) -1 "" "" -1 nan 7.0
1159.817 "N I" 7 7 4 4 8.51e-06 6.04
1160.5129 "C I*" 6 6 3 5 5.928e-05 7.4
1160.8766 "C I**" 6 6 5 5 8.148e-05 7.54
1160.937 "N I" 7 7 4 2 2.41e-06 5.5
1162.015 MnII 25 24 7 9 0.0102 6.6
1162.203 "F V" 9 5 2 4 5.27e-08 0.27
1162.8 ClV 17 13 2 2 5e-05 4.03
1162.8 ClV 17 13 2 4 3.88e-06 2.92
1163.326 MnII 25 24 7 7 0.00752 6.47
1164.208 MnII 25 24 7 5 0.0047 6.27
1165.634 "F V" 9 5 2 2 9.7e-07 1.53
1167.148 ClI 17 17 4 2 0.00957 6.32
1169.262 "V III" 23 21 4 6 0.0192 5.37
1170.405 XeI 54 54 1 3 0.0986 4.29
1187.417 CoII 27 26 9 7 0.0124 6.08
1188.49 CoII 27 26 9 9 0.00407 5.59
1188.7515 ClI 17 17 4 4 0.00547 6.08
1188.7742 ClI 17 17 4 6 0.0728 7.21
1188.8332 "C I" 6 6 1 3 0.01676 9.86
1188.9925 "C I*" 6 6 3 1 0.005586 9.38
1189.028 GeIV 32 29 2 4 0.53 6.43
1189.065 "C I*" 6 6 3 3 0.004189 9.26
1189.2487 "C I*" 6 6 3 5 0.006981 9.48
1189.4469 "C I**" 6 6 5 3 0.00459 9.3
1189.6307 "C I**" 6 6 5 5 0.0138 9.78
1190.0207 "C I" 6 6 1 3 0.003802 9.13
1190.191 "S III" 16 14 1 3 0.0253 8.75
1190.253 "C I*" 6 6 3 3 0.0006066 8.42
1190.4158 SiII 14 13 2 4 0.293 10.09
1190.6357 "C I**" 6 6 5 3 0.0007262 8.5
1191.838 "C I**" 6 6 5 7 5.637e-07 5.39
1192.04 XeI 54 54 1 3 0.396 4.9
1192.213 CoII 27 26 "9 1" 1 0.000104 4.0
1192.2175 "C I" 6 6 1 3 0.000877 8.58
1192.43 CoII 27 26 9 7 5.67e-05 3.74
1192.4507 "C I*" 6 6 3 3 0.002103 8.96
1192.8347 "C I**" 6 6 5 3 nan nan
1193.0088 "C I*" 6 6 3 5 0.0468 10.31
1193.0308 "C I" 6 6 1 3 0.0623 10.43
1193.2401 "C I**" 6 6 5 7 0.03735 10.21
1193.2643 "C I*" 6 6 3 3 0.01111 9.68
1193.2897 SiII 14 13 2 2 0.584 10.39
1193.362 TiIII 22 20 5 3 0.000156 4.2
1193.3932 "C I**" 6 6 5 5 0.006668 9.46
1193.6489 "C I**" 6 6 5 3 0.0004448 8.29
1193.6787 "C I*" 6 6 3 5 0.009 9.59
1193.9955 "C I" 6 6 1 3 0.0075 9.51
1194.061 "S III*" 16 14 3 5 0.01658 8.57
1194.0635 "C I**" 6 6 5 5 0.007055 9.49
1194.2293 "C I*" 6 6 3 3 0.002351 9.01
1194.3009 "C I*" 6 6 3 5 3.74e-06 6.21
1194.4055 "C I*" 6 6 3 1 0.003135 9.13
1194.4882 "C I**" 6 6 5 7 9.142e-06 6.6
1194.5002 SiII* 14 13 "" -1 0.623 10.42
1194.6145 "C I**" 6 6 5 3 0.002351 9.01
1194.6862 "C I**" 6 6 5 5 3.639e-07 5.2
1197.184 MnII 25 24 7 9 0.157 7.8
1197.3938 SiII* 14 13 "" -1 0.124 9.72
1197.8742 "C I*" 6 6 3 5 3.827e-09 3.22
1198.2618 "C I**" 6 6 5 5 9.796e-06 6.63
1199.061 CoII 27 26 9 9 0.000333 4.51
1199.134 "S V" 16 12 1 3 0.000106 6.37
1199.391 MnII 25 24 7 7 0.106 7.63
1199.5496 "N I" 7 7 4 6 0.163 10.34
1200.2233 "N I" 7 7 4 4 0.108 10.16
1200.7098 "N I" 7 7 4 2 0.0541 9.86
1200.97 "S III**" 16 14 5 7 0.01846 8.62
1201.118 MnII 25 24 7 5 0.0881 7.55
1201.729 "S III**" 16 14 5 5 0.003294 7.87
1203.124 TiIII 22 20 5 7 1.23e-05 3.1
1203.217 CoII 27 26 9 7 3.22e-05 3.5
1203.79 MnII 25 24 7 5 0.000154 4.8
1205.749 MnII 25 24 7 7 5.73e-05 4.37
1206.014 MnII 25 24 7 5 8.11e-05 4.52
1206.5 SiIII 14 12 1 3 1.68 10.86
1207.05 FeIII 26 24 9 9 4.42e-06 5.24
1207.281 MnII 25 24 7 9 9.31e-07 2.58
1208.674 MnII 25 24 7 5 0.000143 4.77
1209.006 MnII 25 24 7 7 0.000553 5.36
1210.576 MnII 25 24 7 9 0.000942 5.59
1213.305 MnII 25 24 7 7 4.73e-08 1.29
1214.281 "S I" 16 16 5 3 1.99e-05 5.65
1214.295 "S I" 16 16 5 5 0.000299 6.83
1214.318 "S I" 16 16 5 7 0.00168 7.58
1214.562 FeIII 26 24 9 7 0.000427 7.22
1215.3376 "D I" 1 1 2 4 0.2777 10.23
1215.343 "D I" 1 1 2 2 0.1388 9.93
1215.6683 "H I" 1 1 2 4 0.2776 14.53
1215.6737 "H I" 1 1 2 2 0.1388 14.23
1216.45 "S I" 16 16 5 3 0.000232 6.72
1217.843 "P I" 15 15 4 6 0.00658 6.47
1218.344 "O V" 8 4 1 3 1.48e-06 6.19
1218.514 "S I" 16 16 5 3 1.81e-05 5.61
1218.571 "S I" 16 16 5 5 0.000272 6.79
1218.595 "S I" 16 16 5 7 0.00152 7.54
1218.704 MnII 25 24 7 5 9.98e-06 3.62
1218.745 MnII 25 24 7 7 3.24e-05 4.13
1219.604 MnII 25 24 7 9 0.000147 4.78
1221.753 "S I" 16 16 5 3 0.000355 6.91
1224.4709 "S I" 16 16 5 3 1.27e-05 5.46
1224.5056 "S I" 16 16 5 5 0.000191 6.64
1224.544 "S I" 16 16 5 7 0.00107 7.39
1226.7 CaII 20 19 2 4 0.00109 6.47
1226.742 "P I" 15 15 4 2 0.00643 6.47
1227.0 CaII 20 19 2 2 0.000549 6.17
1229.608 "S I" 16 16 5 3 0.000577 7.12
1229.84 GeIV 32 29 2 2 0.256 6.13
1233.2787 "S I" 16 16 5 3 4.17e-06 4.98
1233.3124 "S I" 16 16 5 5 6.26e-05 6.16
1233.3454 "S I" 16 16 5 7 0.000351 6.91
1234.195 TiIII 22 20 5 5 4.22e-05 3.65
1235.495 TiIII 22 20 5 3 0.000167 4.24
1237.0589 GeII 32 31 2 4 0.0876 5.66
1238.821 "N V" 7 3 2 4 0.157 10.34
1239.9253 MgII 12 11 2 4 0.000372 7.24
1240.3947 MgII 12 11 2 2 0.000185 6.94
1241.905 "S I" 16 16 5 3 0.00102 7.37
1242.804 "N V" 7 3 2 2 0.078 10.04
1247.1067 "S I" 16 16 5 3 8.86e-07 4.31
1247.1342 "S I" 16 16 5 5 1.33e-05 5.49
1247.1602 "S I" 16 16 5 7 7.44e-05 6.24
1250.199 XeI 54 54 1 3 0.00984 3.32
1250.578 "S II" 16 15 4 2 0.0052 8.08
1252.771 NiII 28 27 6 8 0.000417 5.97
1253.805 "S II" 16 15 4 4 0.0103 8.38
1255.272 SiI 14 14 1 3 0.289 10.11
1259.518 "S II" 16 15 4 6 0.0155 8.56
1260.4221 SiII 14 13 2 4 1.18 10.72
1260.533 FeII 26 "25 1" 0 8 0.025 9.01
1260.7355 "C I" 6 6 1 3 0.03937 10.26
1260.9266 "C I*" 6 6 3 1 0.01312 9.78
1260.9962 "C I*" 6 6 3 3 0.00984 9.65
1261.1223 "C I*" 6 6 3 5 0.0164 9.88
1261.4257 "C I**" 6 6 5 3 0.009837 9.65
1261.5519 "C I**" 6 6 5 5 0.02951 10.13
1262.8599 "S I" 16 16 5 3 0.002 7.67
1264.7377 SiII* 14 13 "" -1 0.903 10.61
1265.002 SiII* 14 13 "" -1 0.1 9.65
1270.1434 "C I" 6 6 1 3 0.000428 8.3
1270.408 "C I*" 6 6 3 3 0.000206 7.98
1270.7686 "S I" 16 16 5 3 4.14e-05 5.99
1270.7804 "S I" 16 16 5 7 0.00347 7.91
1270.7874 "S I" 16 16 5 5 0.000621 7.17
1270.8439 "C I**" 6 6 5 3 1.063e-06 5.69
1274.109 "C I**" 6 6 5 7 0.000539 8.4
1276.4825 "C I" 6 6 1 3 0.00168 8.89
1276.7498 "C I*" 6 6 3 3 0.00239 9.04
1277.1901 "C I**" 6 6 5 3 0.0003406 8.2
1277.2454 "C I" 6 6 1 3 0.09665 10.65
1277.2823 "C I*" 6 6 3 5 0.07249 10.53
1277.513 "C I*" 6 6 3 3 0.02416 10.05
1277.5496 "C I**" 6 6 5 7 0.08117 10.58
1277.7229 "C I**" 6 6 5 5 0.01449 9.83
1277.9538 "C I**" 6 6 5 3 0.0009668 8.65
1279.0558 "C I*" 6 6 3 5 0.00202 8.97
1279.2286 "C I**" 6 6 5 7 0.00324 9.18
1279.4977 "C I**" 6 6 5 5 0.000903 8.62
1279.8904 "C I*" 6 6 3 5 0.01367 9.8
1280.1353 "C I" 6 6 1 3 0.02432 10.05
1280.3328 "C I**" 6 6 5 5 0.01466 9.83
1280.4042 "C I*" 6 6 3 3 0.004384 9.31
1280.597 "C I*" 6 6 3 1 0.006837 9.5
1280.847 "C I**" 6 6 5 3 0.005047 9.37
1283.881 "P I" 15 15 4 4 0.00847 6.61
1286.233 TiIII 22 20 5 7 0.000991 5.04
1286.444 "P I" 15 15 4 6 0.00791 6.58
1287.6075 "C I*" 6 6 3 5 0.000166 7.89
1288.0553 "C I**" 6 6 5 5 1.412e-05 6.82
1291.582 TiIII 22 20 5 7 0.00604 5.82
1291.625 TiIII 22 20 5 5 3.03e-05 3.52
1295.56 XeI 54 54 1 3 0.189 4.62
1295.6531 "S I" 16 16 5 5 0.0836 9.3
1295.884 TiIII 22 20 5 5 0.0668 6.87
1296.1739 "S I" 16 16 5 3 0.0278 8.83
1298.697 TiIII 22 20 5 3 0.0951 7.02
1301.874 "P II" 15 14 1 3 0.0173 6.92
1302.1685 "O I" 8 8 5 3 0.0504 10.75
1303.43 "S I" 16 16 5 3 0.0046 8.05
1304.3702 SiII 14 13 2 2 0.0871 9.61
1304.8576 "O I*" 8 8 "" -1 0.0488 10.75
1306.029 "O I**" 8 8 "" -1 0.0488 10.75
1308.866 NiII 28 27 6 6 0.00541 7.1
1309.2757 SiII* 14 13 "" -1 0.101 9.67
1314.994 "P I" 15 15 4 6 0.0144 6.85
1316.5425 "S I" 16 16 5 7 0.0226 8.74
1316.615 "S I" 16 16 5 5 0.00403 7.99
1316.6219 "S I" 16 16 5 3 0.000269 6.82
1317.217 NiII 28 27 6 8 0.146 8.53
1318.684 "P I" 15 15 4 6 0.00705 6.54
1319.022 "P I" 15 15 4 2 0.00658 6.51
1321.421 "P I" 15 15 4 4 0.0006 5.47
1328.8333 "C I" 6 6 1 3 0.05804 10.45
1329.0853 "C I*" 6 6 3 1 0.01934 9.97
1329.1004 "C I*" 6 6 3 5 0.02418 10.07
1329.1233 "C I*" 6 6 3 3 0.01451 9.85
1329.5775 "C I**" 6 6 5 5 0.04351 10.32
1329.6005 "C I**" 6 6 5 3 0.0145 9.85
1329.819 TiIII 22 20 5 5 0.00281 5.5
1334.5323 "C II" 6 5 2 4 0.127 10.79
1334.813 "P III" 15 13 2 4 0.0253 7.1
1335.6627 "C II*" 6 5 "" -1 0.0128 9.79
1335.7077 "C II*" 6 5 "" -1 0.115 10.75
1335.7258 ClI 17 17 4 2 0.0248 6.79
1341.8901 CaII 20 19 2 4 0.00147 6.64
1342.5536 CaII 20 19 2 2 0.000732 6.33
1344.5 CoII 27 26 "9 1" 1 0.000146 4.2
1345.878 NiII 28 27 6 4 0.00643 7.19
1347.2396 ClI 17 17 4 4 0.119 7.47
1355.5977 "O I" 8 8 5 5 1.25e-06 6.16
1358.773 CuII 29 28 1 3 0.38 6.98
1362.461 "B II" 5 4 1 3 1.01 6.02
1367.106 CoII 27 26 9 9 8.12e-05 3.96
1367.9509 CuII 29 28 1 3 0.0332 5.93
1369.5601 FeII 26 "25 1" 0 8 1.06e-07 3.67
1370.132 NiII 28 27 6 4 0.131 8.5
1373.1164 ClI 17 17 4 2 6.87e-05 4.24
1373.4905 "P I" 15 15 4 6 0.0134 6.83
1376.4269 FeII 26 "25 1" 0 8 1.23e-07 3.74
1377.073 "P I" 15 15 4 2 0.0173 6.95
1377.9343 "P I" 15 15 4 4 0.00995 6.71
1378.638 CoII 27 26 9 7 0.000339 4.58
1378.654 "B I" 5 5 2 4 0.195 5.31
1378.875 "B I" 5 5 2 2 0.39 5.61
1379.4282 "P I" 15 15 4 4 0.0425 7.34
1379.5279 ClI 17 17 4 4 0.00284 5.86
1381.476 "P I" 15 15 4 6 0.0791 7.61
1381.5527 "S I" 16 16 5 3 0.000127 6.51
1381.6353 "P I" 15 15 4 2 0.00535 6.44
1381.685 NiII 28 27 6 4 0.00508 7.1
1388.4358 "S I" 16 16 5 5 0.000381 6.99
1389.6925 ClI 17 17 4 6 0.000109 4.45
1393.324 NiII 28 27 6 6 0.0222 7.74
1393.755 SiIV 14 11 2 4 0.524 10.41
1393.804 BeI 4 4 1 3 0.000442 1.21
1394.638 CoII 27 26 "9 1" 1 0.000112 4.1
1397.232 "O IV" 8 5 2 4 3.4e-08 4.61
1398.05 "S IV" 16 13 2 4 3.77e-07 3.99
1399.78 "O IV" 8 5 2 2 6.1e-07 5.86
1401.5142 "S I" 16 16 5 3 0.0142 8.57
1402.77 SiIV 14 11 2 2 0.26 10.11
1404.8 "S IV" 16 13 2 2 7.97e-06 5.32
1412.866 NiII 28 27 6 8 0.00665 7.22
1414.292 NiII 28 27 6 4 0.0024 6.78
1414.402 GaII 31 30 1 3 1.8 6.54
1415.72 NiII 28 27 6 6 0.00413 7.02
1419.287 CoII 27 26 9 7 0.000326 4.58
1424.779 CoII 27 26 9 9 0.0176 6.31
1425.0299 "S I" 16 16 5 7 0.121 9.51
1425.1877 "S I" 16 16 5 5 0.0216 8.76
1425.2189 "S I" 16 16 5 3 0.00144 7.58
1426.117 BeI 4 4 1 3 0.000357 1.13
1441.823 CoII 27 26 9 7 8.55e-07 2.0
1444.296 "S I" 16 16 5 5 0.000813 7.34
1448.011 CoII 27 26 9 7 0.0452 6.73
1449.997 NiII 28 27 6 4 0.00353 6.96
1452.566 CoII 27 26 9 9 0.00299 5.55
1454.842 NiII 28 27 6 6 0.0595 8.19
1466.203 CoII 27 26 "9 1" 1 0.14 7.22
1467.259 NiII 28 27 6 4 0.0111 7.46
1467.427 "P IV" 15 12 1 3 6.05e-05 4.52
1467.756 NiII 28 27 6 8 0.0227 7.77
1469.621 XeI 54 54 1 3 0.272 4.83
1472.395 CuII 29 28 1 3 0.00838 5.36
1472.9706 "S I" 16 16 5 7 0.0191 8.72
1473.9943 "S I" 16 16 5 7 0.0344 8.98
1474.3785 "S I" 16 16 5 5 0.00614 8.23
1474.5706 "S I" 16 16 5 3 0.000409 7.05
1477.222 NiII 28 27 6 6 0.00106 6.44
1480.951 CoII 27 26 9 7 0.0463 6.75
1481.1231 FeII 26 "25 1" "0 1" 2 8.09e-08 3.59
1486.496 "N IV" 7 4 1 3 5.74e-07 4.98
1488.452 BrI 35 35 4 4 0.0399 4.4
1491.765 BeI 4 4 1 3 0.0013 1.71
1492.954 MnI 25 25 6 8 0.0594 7.48
1495.045 GaIII 31 29 2 4 0.543 6.04
1501.959 NiII 28 27 6 4 0.000769 6.31
1502.148 NiII 28 27 6 6 0.0133 7.55
1504.5846 FeII 26 "25 1" "0 1" 2 9.84e-08 3.68
1506.5395 FeII 26 "25 1" 0 8 3.18e-07 4.19
1514.743 CoII 27 26 9 7 0.00151 5.27
1514.8589 FeII 26 "25 1" "0 1" 0 6.86e-06 5.53
1516.7295 FeII 26 "25 1" 0 8 9.53e-08 3.67
1519.246 "B I" 5 5 2 4 0.00427 3.69
1522.1618 FeII 26 "25 1" "0 1" 0 5.64e-06 5.44
1524.17 "B I" 5 5 2 2 0.0102 4.07
1524.8542 FeII 26 "25 1" "0 1" 2 1.61e-07 3.9
1525.281 "B I" 5 5 2 4 0.0059 3.83
1526.7066 SiII 14 13 2 2 0.132 9.85
1529.9036 FeII 26 "25 1" "0 1" 2 1.11e-07 3.74
1532.094 "B I" 5 5 2 2 0.0151 4.24
1532.533 "P II" 15 14 1 3 0.00761 6.64
1533.4312 SiII* 14 13 "" -1 0.229 10.1
1533.806 "B I" 5 5 2 4 0.00846 3.99
1534.333 CoII 27 26 9 7 0.000457 4.76
1534.462 GaIII 31 29 2 2 0.265 5.74
1534.821 CoII 27 26 9 9 0.00201 5.4
1539.468 CoII 27 26 "9 1" 1 0.00256 5.51
1539.738 SiI 14 14 1 3 0.000424 7.36
1540.354 SiI 14 14 1 3 0.0108 8.77
1540.654 BrI 35 35 4 4 0.0498 4.51
1542.432 SiI 14 14 1 3 0.00634 8.54
1542.4495 FeII 26 "25 1" "0 1" 0 1.99e-07 4.0
1543.398 "B I" 5 5 2 2 0.01 4.07
1545.612 SiI 14 14 1 3 0.00885 8.69
1546.423 "B I" 5 5 2 4 0.0128 4.18
1546.674 SiI 14 14 1 3 0.0149 8.91
1547.13 SiI 14 14 1 3 0.0091 8.7
1547.946 CoII 27 26 "9 1" 1 0.0245 6.49
1548.195 "C IV" 6 3 2 4 0.19 11.03
1550.77 "C IV" 6 3 2 2 0.0952 10.73
1552.022 SiI 14 14 1 3 0.000421 7.37
1552.76 CoII 27 26 9 9 0.015 6.28
1552.948 SiI 14 14 1 3 0.0129 8.85
1553.754 CoII 27 26 9 7 0.00879 6.05
1554.296 SiI 14 14 1 3 0.0767 9.63
1555.514 SiI 14 14 1 3 0.0212 9.07
1555.5403 FeII 26 "25 1" 0 8 2.15e-06 5.03
1558.701 "B I" 5 5 2 2 0.00736 3.94
1560.3092 "C I" 6 6 1 3 0.08041 10.66
1560.406 SiI 14 14 1 3 0.0119 8.82
1560.6822 "C I*" 6 6 3 5 0.0603 10.53
1560.709 "C I*" 6 6 3 3 0.0201 10.06
1561.3402 "C I**" 6 6 5 5 0.01205 9.84
1561.3667 "C I**" 6 6 5 3 0.0008042 8.66
1561.4384 "C I**" 6 6 5 7 0.0675 10.58
1561.5024 FeII 26 "25 1" 0 8 1.37e-06 4.84
1562.002 SiI 14 14 1 3 0.376 10.32
1563.7512 FeII 26 "25 1" "0 1" 0 2.76e-06 5.15
1565.5255 FeII 26 "25 1" "0 1" 2 1.72e-05 5.94
1566.286 "B I" 5 5 2 4 0.0206 4.39
1566.303 SiI 14 14 1 3 0.0063 8.54
1567.573 CoII 27 26 9 9 0.00885 6.05
1568.618 SiI 14 14 1 3 0.0318 9.25
1572.648 CoII 27 26 9 7 0.0251 6.51
1572.718 SiI 14 14 1 3 0.0112 8.8
1573.301 "B I" 5 5 2 2 0.0164 4.29
1574.545 CoII 27 26 9 9 0.0801 7.01
1576.387 BrI 35 35 4 6 0.00117 2.9
1578.669 CoII 27 26 9 7 0.000384 4.69
1579.613 CoII 27 26 "9 1" 1 0.00214 5.44
1584.852 SiI 14 14 1 3 0.0183 9.01
1588.6876 FeII 26 "25 1" 0 8 0.000124 6.8
1589.173 SiI 14 14 1 3 0.0503 9.45
1589.561 ZnI 30 30 1 3 0.122 6.94
1595.8573 FeII 26 "25 1" "0 1" 2 1.5e-07 3.89
1598.001 ScIII 21 19 4 4 0.0175 4.54
1600.373 "B I" 5 5 2 4 0.0363 4.64
1600.455 "B I" 5 5 2 2 0.00675 3.91
1602.4863 GeII 32 31 2 2 0.135 5.97
1604.5587 FeII 26 "25 1" 0 8 8.4e-06 5.64
1608.4511 FeII 26 "25 1" 0 8 0.0619 9.51
1608.8005 FeII 26 "25 1" "0 1" 0 6.65e-08 3.54
1610.194 ScIII 21 19 4 2 0.0866 5.23
1610.7441 FeII 26 "25 1" "0 1" 0 1.02e-07 3.73
1611.2005 FeII 26 "25 1" 0 8 0.000222 7.06
1613.3763 "C I" 6 6 1 3 5.55e-05 7.51
1614.566 SiI 14 14 1 3 0.0293 9.22
1620.0608 FeII 26 "25 1" 0 8 2.4e-05 6.1
1621.6856 "Fe II*" 26 25 8 6 0.0608 9.5
1623.7136 FeII 26 "25 1" "0 1" 2 1.1e-07 3.76
1625.6823 FeII 26 "25 1" "0 1" 0 3.03e-08 3.2
1625.7051 SiI 14 14 1 3 0.0851 9.69
1628.971 CoII 27 26 9 9 9.93e-05 4.12
1630.36 BaII 56 55 2 2 0.000677 2.25
1631.1705 SiI 14 14 1 3 0.205 10.07
1635.1402 FeII 26 "25 1" 0 8 4.58e-08 3.38
1639.628 FeII 26 "25 1" "0 1" 0 6.47e-08 3.54
1642.3706 FeII 26 "25 1" "0 1" 2 2.55e-07 4.13
1649.8579 CaII 20 19 2 4 0.000579 6.32
1651.1636 MgI 12 12 1 3 0.000777 7.69
1651.9909 CaII 20 19 2 2 0.00029 6.02
1656.2672 "C I*" 6 6 3 5 0.05857 10.55
1656.9283 "C I" 6 6 1 3 0.1405 10.93
1657.0082 "C I**" 6 6 5 5 0.1054 10.8
1657.3792 "C I*" 6 6 3 3 0.03512 10.33
1657.9068 "C I*" 6 6 3 1 0.04681 10.45
1658.1212 "C I**" 6 6 5 3 0.03511 10.33
1658.3115 MgI 12 12 1 3 0.00111 7.84
1661.478 BeI 4 4 1 3 0.0156 2.83
1662.608 "B I" 5 5 2 2 0.00829 4.02
1666.3762 SiI 14 14 1 3 0.0346 9.31
1666.85 "B I" 5 5 2 4 0.0732 4.97
1668.4288 MgI 12 12 1 3 0.00167 8.03
1670.7874 AlII 13 12 1 3 1.81 9.96
1671.6713 "P I" 15 15 4 2 0.00824 6.71
