lambda ion Z num_e gl gu fosc P
368.091 ArIII 18 16 5 3 0.0185 7.39
368.313 ArIII 18 16 5 5 0.0555 7.87
368.99 "S IV" 16 13 2 2 0.0159 8.04
369.646 CaIV 20 17 4 4 0.00215 6.24
369.858 "F II" 9 8 5 3 0.00131 4.17
370.402 CaIV 20 17 4 6 0.0192 7.19
370.732 "F II" 9 8 5 3 6.47e-05 2.86
370.733 "F II" 9 8 5 5 0.00097 4.04
370.736 "F II" 9 8 5 7 0.00543 4.78
370.956 "F II" 9 8 5 3 0.000261 3.47
370.97 "F II" 9 8 5 5 0.00392 4.64
370.99 "F II" 9 8 5 7 0.0219 5.39
371.037 CaXVII 20 4 1 3 0.000394 5.5
371.16 ScIV 21 18 1 3 0.0016 2.86
371.729 ArIII 18 16 5 5 0.00895 7.08
371.746 ArIII 18 16 5 7 0.0502 7.83
371.776 ArIII 18 16 5 3 0.000597 5.91
372.075 NaII 11 10 1 3 0.212 8.21
374.005 "O III" 8 6 1 3 0.0831 10.42
374.204 "N III" 7 5 2 4 0.441 10.27
374.609 "F III" 9 7 4 2 2.39e-06 1.43
375.147 "F III" 9 7 4 4 6.99e-06 1.9
375.237 "F II" 9 8 5 3 0.0172 5.29
375.303 "F II" 9 8 5 5 0.0516 5.77
375.4 "F II" 9 8 5 3 0.0231 5.42
376.372 "B III" 5 3 2 4 0.015 3.63
376.624 "F II" 9 8 5 3 0.000512 3.77
376.65 "F II" 9 8 5 5 0.00769 4.94
376.687 "F II" 9 8 5 7 0.043 5.69
376.693 "O II" 8 7 4 4 0.029 9.97
376.745 "O II" 8 7 4 6 0.0436 10.15
376.778 MnIX 25 17 4 2 0.0355 6.66
376.85 "F II" 9 8 5 3 0.00118 4.13
377.154 MnXI 25 15 4 2 0.017 6.34
378.135 TiX 22 13 2 2 0.15 6.68
378.136 NaIII 11 9 4 2 0.0889 7.84
378.22 NaVII 11 5 2 2 0.0453 7.54
378.676 "F II" 9 8 5 3 8.68e-05 3.0
378.68 "F II" 9 8 5 5 0.0013 4.17
378.684 "F II" 9 8 5 7 0.00729 4.92
381.15 AlVIII 13 6 1 3 0.0749 7.94
382.142 MnXI 25 15 4 4 0.032 6.62
383.036 MnX 25 16 5 5 0.034 6.64
383.96 ClXV 17 3 2 4 0.0609 6.64
384.74 MnXV 25 11 2 2 0.13 7.23
384.95 AlIX 13 5 2 4 0.0708 7.92
385.46 "N II" 7 6 1 3 0.002 7.94
385.869 ScIX 21 13 2 4 0.182 4.94
386.14 TiXI 22 12 1 3 0.992 7.51
386.2028 "C III" 6 4 1 3 0.232 10.51
386.261 FeV 26 22 1 3 0.173 9.33
386.27 MnXII 25 14 1 3 0.066 6.94
387.651 "O II" 8 7 4 6 0.00189 8.79
387.901 "O II" 8 7 4 4 0.00127 8.62
387.984 FeV 26 22 1 3 0.0807 9.01
388.058 "O II" 8 7 4 2 0.000632 8.32
388.318 "P IV" 15 12 1 3 0.1 7.16
388.5 CoXVI 27 12 1 3 0.0037 5.07
389.14 ArXVI 18 3 2 2 0.0263 7.57
389.81 CrXIV 24 11 2 4 0.292 7.74
390.15 ClV 17 13 2 2 0.091 6.82
390.225 "F II" 9 8 5 3 0.00379 4.65
390.888 ScIX 21 13 2 2 0.29 5.14
391.558 "S IV" 16 13 2 4 5.14e-05 5.57
391.912 "O II" 8 7 4 2 0.0273 9.96
391.943 "O II" 8 7 4 4 0.0548 10.26
392.002 "O II" 8 7 4 6 0.0821 10.44
393.0 CrXII 24 13 2 4 0.077 7.16
393.469 "V X" 23 14 1 3 0.057 5.37
393.675 "F II" 9 8 5 7 0.0322 5.58
393.677 "F II" 9 8 5 5 0.00575 4.83
393.678 "F II" 9 8 5 3 0.000383 3.66
393.743 MnXI 25 15 4 6 0.048 6.81
395.919 ArIII 18 16 5 3 0.0238 7.53
396.004 "K XVI" 19 4 1 3 0.000296 4.2
396.369 ArIII 18 16 5 7 0.139 8.3
396.422 ArIII 18 16 5 5 0.0248 7.55
396.87 ArIV 18 15 4 6 0.0613 7.95
398.55 ArIV 18 15 4 4 0.0407 7.77
399.289 MgVI 12 7 4 2 0.0341 8.71
399.63 ArIV 18 15 4 2 0.0203 7.47
399.82 NeVI 10 5 2 4 0.0844 9.62
400.676 MgVI 12 7 4 4 0.0678 9.01
401.14 NeVI 10 5 2 2 0.168 9.92
402.801 "F III" 9 7 4 2 2.91e-06 1.55
403.315 MgVI 12 7 4 6 0.101 9.19
403.724 CaIII 20 18 1 3 0.7 8.79
405.848 NeII 10 9 4 4 0.00652 8.51
405.8538 NeII 10 9 4 6 0.0586 9.47
407.764 CaVII 20 14 1 3 0.27 8.38
408.378 SiIII 14 12 1 3 0.00286 7.62
408.6836 NaIV 11 8 5 3 0.0419 7.54
